1,"Adjustable Race","AR-5381",0,0,,1000,750,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
2,"Bearing Ball","BA-8327",0,0,,1000,750,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
3,"BB Ball Bearing","BE-2349",1,0,,800,600,£0.00,£0.00,,,,,1,,,,,,1/6/1999 00:00:00,,
4,"Headset Ball Bearings","BE-2908",0,0,,800,600,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
316,"Blade","BL-2036",1,0,,800,600,£0.00,£0.00,,,,,1,,,,,,1/6/1999 00:00:00,,
317,"LL Crankarm","CA-5965",0,0,"Black",500,375,£0.00,£0.00,,,,,0,,"L ",,,,1/6/1999 00:00:00,,
318,"ML Crankarm","CA-6738",0,0,"Black",500,375,£0.00,£0.00,,,,,0,,"M ",,,,1/6/1999 00:00:00,,
319,"HL Crankarm","CA-7457",0,0,"Black",500,375,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
320,"Chainring Bolts","CB-2903",0,0,"Silver",1000,750,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
321,"Chainring Nut","CN-6137",0,0,"Silver",1000,750,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
322,"Chainring","CR-7833",0,0,"Black",1000,750,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
323,"Crown Race","CR-9981",0,0,,1000,750,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
324,"Chain Stays","CS-2812",1,0,,1000,750,£0.00,£0.00,,,,,1,,,,,,1/6/1999 00:00:00,,
325,"Decal 1","DC-8732",0,0,,1000,750,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
326,"Decal 2","DC-9824",0,0,,1000,750,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
327,"Down Tube","DT-2377",1,0,,800,600,£0.00,£0.00,,,,,1,,,,,,1/6/1999 00:00:00,,
328,"Mountain End Caps","EC-M092",1,0,,1000,750,£0.00,£0.00,,,,,1,,,,,,1/6/1999 00:00:00,,
329,"Road End Caps","EC-R098",1,0,,1000,750,£0.00,£0.00,,,,,1,,,,,,1/6/1999 00:00:00,,
330,"Touring End Caps","EC-T209",1,0,,1000,750,£0.00,£0.00,,,,,1,,,,,,1/6/1999 00:00:00,,
331,"Fork End","FE-3760",1,0,,800,600,£0.00,£0.00,,,,,1,,,,,,1/6/1999 00:00:00,,
332,"Freewheel","FH-2981",0,0,"Silver",500,375,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
341,"Flat Washer 1","FW-1000",0,0,,1000,750,£0.00,£0.00,,,,,0,,,,,,1/6/1999 00:00:00,,
